sequence,company,city,state,acquirer,date_str,date,commodities_handled,note
N309,Ashtabula Pure Milk Co.,Ashtabula,Ohio,N.D.P.C.,"""5/25/31""",1931-05-25,Milk; Cream,
N310,Consolidated Dairy Products Co.,Long Island City,New York,N.D.P.C.,"""6/17/31""",1931-06-17,Ice Cream,
N311,Consolidated Dairy Prod. Co.,Passaic,New Jersey,N.D.P.C.,"""6/17/31""",1931-06-17,Ice Cream,
N312,Maiden Ice Cream Co.,Malden,Massachusetts,N.D.P.C.,"""6/26/31""",1931-06-26,Ice Cream,
N313,"D. W. Whitmore & Co., Inc.",New York,New York,Kraft-Phenix,"""7/28/31""",1931-07-28,Cheese; Butter,
N314,"Fort Schuyler Farms, Inc.",Utica,New York,"Sheffield Farms Co., Inc.","""8/6/31""",1931-08-06,Milk; Cream,
N315,Carl L. Kelley,Lexington,Kentucky,Kraft-Phenix,"""8/27/31""",1931-08-27,Cheese,
N316,The Manchester Dairy Ice Cr. Co.,So. Manchester,Connecticut,General Ice Cream Corp.,"""9/2/31""",1931-09-02,Ice Cream,
N317,Marley Farm Products Co.,Newark,New Jersey,"Breakstone Bros., Inc.","""9/24/32""",1932-09-24,Milk; Milk Products,
N318,"Rogers Ice Cream Co., Inc.",Poughkeepsie,New York,General Ice Cream Corp.,"""2/15/32""",1932-02-15,Ice Cream,
N319,"Dake Dairy Products Co., Inc.",Greenfield,New York,General Ice Cream Corp.,"""3/22/32""",1932-03-22,Ice Cream,
N320,"Quality Ice Creams, Inc.",Cleveland,Ohio,The Telling Belle-Vernon Co.,"""11/16/32""",1932-11-16,Ice Cream,
N321,Davis Cheese Company,Plymouth,Wisconsin,Kraft-Phenix,"""1/1/33""",1933-01-01,Cheese,
N322,"Shore Road Dairy Products, Inc.",Brooklyn,New York,Merit Dairy Prod. Corp. (likely asset acquisition by N.D.P.C.),"""4/17/33""",1933-04-17,Cream; Cheese,
N323,"Dairy Valley Cheese, Ltd.,_London",Ontario,_Canada,Kraft-Phenix,"""4/29/33""",1933-04-29,Cheese,
N324,A. Quinn's Sons,Brooklyn,New York,Kraft-Phenix,"""5/22/33""",1933-05-22,Cheese; Sour Cream,
N325,"Columbine Creamery Co., Ltd.",Long Beach,California,Kraft-Phenix,"""6/1/33""",1933-06-01,Cheese; Mayonnaise,
N326,"Columbine Creamery Co.,_of Ariz.",Phoenix,Arizona,Kraft-Phenix,"""6/1/33""",1933-06-01,Cheese; Mayonnaise,
N327,"Weidman Ice Cr. Co., Inc.",Olean,New York,"Roberts Dairy, Inc.","""8/13/33""",1933-08-13,Ice Cream,
N328,"Meyer Schurr Dairy Prod., Inc.",Brooklyn,New York,Merit Dairy Prod. Corp. (likely asset acquisition by N.D.P.C.),"""7/26/33""",1933-07-26,Wholesale Cream Cheese; Butter,
N329,Premier-Pabst Corp.,Milwaukee,Wisconsin,Kraft-Phenix,"""10/19/33""",1933-10-19,Cheese,
N330,Mose Deyo,Cairo,New York,General Ice Cream Corp.,"""12/14/33""",1933-12-14,Ice Cream,
N331,"Hodgson-Rowson Co., Ltd.",Montreal,_Canada,Kraft-Phenix,"""12/14/33""",1933-12-14,Cheese,
N332,"Seaboard Creameries, Inc.",Norfolk,Virginia,"Southern Dairies, Inc.","""11/28/33""",1933-11-28,Ice Cream,
N333,"Lang's Ice Cream, Inc.",Buffalo,New York,General Ice Cream Corp.,"""3/5/34""",1934-03-05,Ice Cream,
N334,"Claire R. Quereau, Inc.",Philadelphia,Pennsylvania,Kraft-Phenix,"""5/25/34""",1934-05-25,Cheese,
N335,Allentown Cheese Co.,Allentown,Pennsylvania,Kraft-Phenix,"""6/6/34""",1934-06-06,Cheese,
N336,"Dutchland Farms, Inc.",Brockton,Massachusetts,General Ice Cream Corp.,"""6/29/34""",1934-06-29,Ice Cream; Other Milk Produts,
N337,"Elmhurst Special Milk Co., Inc.",Buffalo,New York,"Dodds Alderney Dairy, Inc.","""6/29/34""",1934-06-29,Milk,
N338,"George E. Trask, Inc.",East Hartford,Connecticut,Kraft-Phenix,"""6/30/34""",1934-06-30,Cheese,
N339,"Plummer & Silverman, Inc.",Providence,Rhode Island,Kraft-Phenix,"""6/30/34""",1934-06-30,Cheese,
N340,"Maloney-Davidson Co., Inc.",Louisville,Kentucky,Maloney-Davidson Foods Service Co. (actual acquisition doubtful),"""8/1/34""",1934-08-01,Cheese,
N341,Pyburn Co.,Atlanta,Georgia,Kraft-Phenix,"""10/20/34""",1934-10-20,Cheese,
N342,P. E. Sharpless Company,Philadelphia,Pennsylvania,Kraft-Phenix,"""10/31/34""",1934-10-31,Cheese; Dairy Products,
N343,"The Harold Graham Dairies, Inc.",Hartford,Connecticut,"R. G. Miller & Sons, Inc.","""1/7/35""",1935-01-07,Milk; Milk Products,
N344,Caum Ice Cream Company,Altoona,Pennsylvania,Rieck-McJunkin Dairy Company,"""3/27/35""",1935-03-27,Ice Cream; Milk,
N345,"Southland Dairy Products Company, Inc.",Jacksonville,Florida,"Southern Dairies, Inc.","""4/25/35""",1935-04-25,Ice Cream; Milk,
N346,"Frank M. Ferguson Co., Inc.",Oakland,California,(Kraft Associated Distributors?),"""6/1/35""",1935-06-01,Cheese,N.D.P.C. Annual Report
N347,"Disher Cheese Co., Inc.",Syracuse,New York,Kraft-Phenix,"""6/12/35""",1935-06-12,Cheese; Other Milk Products,
N348,Colonial Ice Cream Co.,East Providence,Rhode Island,General Ice Cream Corp.,"""8/6/35""",1935-08-06,Ice Cream,
N349,"Colonial Ice Cream Co., Inc.",Norfolk,Virginia,"Southern Dairies, Inc.","""11/7/35""",1935-11-07,Ice Cream,
N350,"Utica Cheese Co., Inc.",Utica,New York,Kraft-Phenix,"""11/12/35""",1935-11-12,Cheese,
N351,Gray Gables Dairy,Kansas City,Missouri,Chapman Dairy Co.,"""11/20/35""",1935-11-20,Milk; Milk Products,
N352,"Meyer's Frozen Delicacies, Inc.",Buffalo,New York,"Roberts Dairy, Inc.","""12/23/35""",1935-12-23,Ice Cream,
N353,"Flint & Fulton, Inc.,_trading as ""Monmouth Ice Cream Co.""",Asbury Park,New Jersey,Breyer Ice Cream Co.,"""1/2/36""",1936-01-02,Ice Cream,
N354,"Piedmont Ice Cream Co., Inc.",Salisbury,North Carolina,"Southern Dairies, Inc.","""1/3/36""",1936-01-03,Ice Cream,
N355,"Local Milk Products, Inc.",Brooklyn,New York,"Muller Dairies, Inc. (operated under N.D.P.C.)","""1/13/36""",1936-01-13,Milk,
N356,Rutland Ice Cream Company,Rutland,Vermont,General Ice Cream Corp.,"""1/28/36""",1936-01-28,Ice Cream,
N357,The Annapolis Dairy Products . Co.,Annapolis,Maryland,Annapolis Maid Ice Cream Co.,"""4/24/36""",1936-04-24,Ice Cream,
N358,Yerdon Ice Cream Co.,Utica,New York,General Ice Cream Corp.,"""5/28/36""",1936-05-28,Ice Cream,
N359,Windsor Evaporated Milk Co.,Cleveland,Ohio,(N.D.P.C. ?),"""7/2/36""",1936-07-02,Fluid Milk; Cream,N.D.P.C. Annual Report
N360,Macomber Ice Cream Co.,New Bedford,Massachusetts,(N.D.P.C. ?),"""8/1/36""",1936-08-01,Ice Cream,N.D.P.C. Annual Report
N361,Bushway-Whiting Ice Cream Co.,Boston,Massachusetts,(N.D.P.C. ?),"""10/31/36""",1936-10-31,Ice Cream,N.D.P.C. Annual Report
N362,Maple Brook-Dairy Co.,Painesville,Ohio,(not acquired?),"""4/1/37""",1937-04-01,Fluid Milk; Cream,"still alive in 1943, https://archive.org/details/CAT31069360/page/519/mode/1up?q=Maple+Brook"
